face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 60.0]","[-0.036452048, -0.8751478, 0.28443787]"
1,4,"[0, 2]","[90.0, 90.0, 120.0]","[0.72400826, 0.36571437, 0.22350419]"
2,4,"[0, 1]","[60.0, 60.0, 120.0]","[-0.43920812, -0.09491398, 0.29084346]"
