face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 120.0, 60.0]","[0.08308518, -0.7830403, 0.26392603]"
1,4,"[0, 2]","[120.0, 120.0, 60.0]","[0.25465193, 0.83428174, 0.20513955]"
2,4,"[0, 1]","[60.0, 60.0, 60.0]","[0.57448006, 0.013076253, 0.23603942]"
