face,sides,joins,angle,vector
0,4,"[1, 2]","[90.0, 30.0, 90.0]","[-0.40169805, 0.1730145, 0.30703518]"
1,4,"[0, 2]","[120.0, 30.0, 150.0]","[-0.09249959, 0.85601693, 0.19297689]"
2,4,"[0, 1]","[0.0, 90.0, 150.0]","[-0.050527047, -0.8776034, 0.17509024]"
