face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 60.0]","[-0.004391493, -0.8390067, 0.28942448]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[0.690745, 0.2981124, 0.24587983]"
2,4,"[0, 1]","[30.0, 60.0, 90.0]","[-0.3318444, -0.116516456, 0.44114706]"
