face,sides,joins,angle,vector
0,4,"[1, 2]","[60.0, 60.0, 60.0]","[-0.40723225, 0.033500623, 0.34049955]"
1,4,"[0, 2]","[120.0, 60.0, 150.0]","[-0.056154396, 0.85399646, 0.19530882]"
2,4,"[0, 1]","[0.0, 60.0, 150.0]","[-0.014996649, -0.89533764, 0.1677688]"
