face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 120.0, 120.0]","[0.023936091, -0.7977684, 0.16730236]"
1,4,"[0, 2]","[120.0, 120.0, 60.0]","[0.6569579, 0.61086744, 0.18727338]"
2,4,"[0, 1]","[120.0, 120.0, 60.0]","[-0.30866316, 0.6318337, 0.19809926]"
