face,sides,joins,angle,vector
0,4,[1],"[90.0, 90.0]","[-0.51359314, 0.4167846, 0.25944924]"
1,4,[0],"[0.0, 90.0]","[-0.049852572, -0.8614078, 0.26637295]"
