face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 60.0, 120.0]","[0.064864546, -0.82743585, 0.24836475]"
1,4,"[0, 2]","[60.0, 60.0, 30.0]","[0.65741956, 0.07823888, 0.2201805]"
2,4,"[0, 1]","[120.0, 120.0, 30.0]","[0.32366845, 0.7767853, 0.18669477]"
