face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 60.0, 90.0]","[-0.055383086, -0.8738137, 0.2934913]"
1,4,"[0, 2]","[60.0, 60.0, 120.0]","[-0.5615427, -0.13441364, 0.28400618]"
2,4,"[0, 1]","[90.0, 90.0, 120.0]","[0.53888196, 0.3163381, 0.2325602]"
