face,sides,joins,angle,vector
0,4,"[1, 2]","[120.0, 120.0, 60.0]","[0.6591503, 0.624333, 0.18781815]"
1,4,"[0, 2]","[0.0, 120.0, 120.0]","[0.048020147, -0.8377705, 0.16510326]"
2,4,"[0, 1]","[120.0, 60.0, 120.0]","[-0.30658296, 0.633776, 0.19416794]"
