277.33,206,380,109
380,109,425,202.5
425,202.5,339,313.33
339,313.33,277.33,206
NaN,NaN,NaN,NaN
240,270,339,313.33
339,313.33,277.33,206
277.33,206,240,270
NaN,NaN,NaN,NaN
