face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 120.0, 60.0]","[0.054688506, -0.76468265, 0.25609475]"
1,4,"[0, 2]","[120.0, 120.0, 60.0]","[-0.33814758, 0.5423746, 0.26194292]"
2,4,"[0, 1]","[60.0, 60.0, 60.0]","[0.33470201, 0.071343295, 0.37670276]"
