face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 30.0, 120.0]","[0.015062329, -0.7191348, 0.2759379]"
1,4,"[0, 2]","[30.0, 30.0, 90.0]","[-0.38759243, -0.235331, 0.406217]"
2,4,"[0, 1]","[120.0, 120.0, 90.0]","[0.4018083, 0.63251936, 0.19424158]"
