face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 120.0, 60.0]","[0.13938339, -0.42495787, 0.37295848]"
1,4,"[0, 2]","[120.0, 120.0, 90.0]","[-0.35176626, 0.63506, 0.20729616]"
2,4,"[0, 1]","[60.0, 60.0, 90.0]","[0.43093783, 0.066114336, 0.23776911]"
