face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 60.0]","[0.096429564, -0.42950734, 0.4162789]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[-0.46682915, 0.43766892, 0.28737956]"
2,4,"[0, 1]","[90.0, 60.0, 90.0]","[0.60006595, 0.31021327, 0.21318677]"
