face,sides,joins,angle,vector
0,4,[1],"[0.0, 120.0]","[0.097371966, -0.5517026, 0.34836516]"
1,4,[0],"[120.0, 120.0]","[-0.059189335, 0.6636841, 0.25576824]"

