face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 90.0]","[0.019863447, -0.7553207, 0.2438651]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[-0.621958, 0.3014791, 0.19658159]"
2,4,"[0, 1]","[90.0, 90.0, 90.0]","[0.57888436, 0.4624772, 0.19367853]"
