face,sides,joins,angle,vector
0,6,"[1, 2]","[0.0, 90.0, 90.0]","[-0.009051704, -0.8175294, 0.30327883]"
1,4,"[0, 2]","[90.0, 90.0, 60.0]","[-0.31076333, 0.42221612, 0.28814954]"
2,4,"[0, 1]","[90.0, 90.0, 60.0]","[0.54836375, 0.458372, 0.22151479]"
