face,sides,joins,angle,vector
0,6,"[1, 2]","[0.0, 90.0, 120.0]","[0.013553495, -0.8601635, 0.31261128]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[-0.56722444, 0.38168123, 0.20029575]"
2,4,"[0, 1]","[120.0, 120.0, 90.0]","[0.53085876, 0.5895042, 0.16425079]"
