face,sides,joins,angle,vector
0,6,"[1, 2, 3]","[0.0, 90.0, 120.0, 90.0]","[-0.0077059576, -0.86814255, 0.2628393]"
1,4,"[0, 2]","[90.0, 90.0, 30.0]","[-0.49797982, 0.42277962, 0.21578896]"
2,4,"[0, 1, 3]","[120.0, 120.0, 30.0, 60.0]","[0.08329493, 0.55850285, 0.27958757]"
3,4,"[0, 2]","[60.0, 90.0, 60.0]","[0.55130726, 0.06343681, 0.19640663]"
