face,sides,joins,angle,vector
0,6,"[1, 2]","[0.0, 90.0, 90.0]","[0.0015008303, -0.81158876, 0.31393006]"
1,4,"[0, 2]","[90.0, 90.0, 60.0]","[-0.37900102, 0.26220837, 0.33423975]"
2,4,"[0, 1]","[90.0, 90.0, 60.0]","[0.36469662, 0.37670243, 0.27778655]"
