face,sides,joins,angle,vector
0,4,"[1, 2]","[30.0, 60.0, 90.0]","[-0.33490524, -0.1950252, 0.35679948]"
1,3,"[0, 2]","[90.0, 60.0, 90.0]","[-0.09151388, 0.28452936, 0.35036737]"
2,4,"[0, 1]","[30.0, 90.0, 90.0]","[0.5465413, -0.35305822, 0.21103619]"
