face,sides,joins,angle,vector
0,4,"[1, 2]","[0.0, 90.0, 120.0]","[0.03930561, -0.8246664, 0.20347083]"
1,4,"[0, 2]","[90.0, 90.0, 90.0]","[0.6069266, 0.29182163, 0.13327922]"
2,4,"[0, 1]","[90.0, 120.0, 90.0]","[-0.51792175, 0.43022743, 0.16330053]"
